stock_code,instrument_name,previous_market_code,previous_listing_date,current_api_present,listing_status,delisting_date,evidence_type,evidence_date,evidence_reference,evidence_hash,verification_result,review_note
001880,DL건설,KRX_KOSPI,1977-12-22,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
003560,IHQ,KRX_KOSPI,1973-12-18,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
033180,KH 필룩스,KRX_KOSPI,2001-12-26,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
001140,국보,KRX_KOSPI,1989-12-02,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
008110,대동전자,KRX_KOSPI,1990-06-05,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
012510,더존비즈온,KRX_KOSPI,1988-10-28,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
282690,동아타이어,KRX_KOSPI,2017-11-29,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
049770,동원F&B,KRX_KOSPI,2000-11-23,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
115390,락앤락,KRX_KOSPI,2010-01-28,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
088980,맥쿼리인프라,KRX_KOSPI,2006-03-15,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
008560,메리츠증권,KRX_KOSPI,1992-01-15,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
000060,메리츠화재,KRX_KOSPI,1956-07-02,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
204210,모두투어리츠,KRX_KOSPI,2016-09-22,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
094800,맵스리얼티,KRX_KOSPI,2007-04-09,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
155900,바다로19호,KRX_KOSPI,2012-06-29,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
030790,비케이탑스,KRX_KOSPI,2010-11-02,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
