source_market,source_record_index,source_identifier,stock_code,instrument_name,raw_security_type,normalized_security_type,included_in_stock_service,exclusion_reason,duplicate_group,listing_date_raw,listing_date_normalized,validation_result
KOSPI,0,KR7095570008,095570,AJ네트웍스,주권,COMMON,TRUE,,,20150821,2015-08-21,VALID
KOSPI,1,KR7006840003,006840,AK홀딩스,주권,COMMON,TRUE,,,19990811,1999-08-11,VALID
KOSPI,2,KR7282330000,282330,BGF리테일,주권,COMMON,TRUE,,,20171208,2017-12-08,VALID
KOSPI,3,KR7027410000,027410,BGF,주권,COMMON,TRUE,,,20140519,2014-05-19,VALID
KOSPI,4,KR7138930003,138930,BNK금융지주,주권,COMMON,TRUE,,,20110330,2011-03-30,VALID
KOSPI,5,KR7001461003,001465,BYC우,주권,PREFERRED,TRUE,,,19890905,1989-09-05,VALID
KOSPI,6,KR7001460005,001460,BYC,주권,COMMON,TRUE,,,19750602,1975-06-02,VALID
KOSPI,7,KR7001041003,001045,CJ우,주권,PREFERRED,TRUE,,,19890818,1989-08-18,VALID
KOSPI,8,KR700104K010,00104K,CJ4우(전환),주권,PREFERRED,TRUE,,,20190809,2019-08-09,VALID
KOSPI,9,KR7001040005,001040,CJ,주권,COMMON,TRUE,,,19730629,1973-06-29,VALID
KOSPI,10,KR7011151008,011155,CJ씨푸드1우,주권,PREFERRED,TRUE,,,19900113,1990-01-13,VALID
KOSPI,11,KR7011150000,011150,CJ씨푸드,주권,COMMON,TRUE,,,19881126,1988-11-26,VALID
KOSPI,12,KR7000590000,000590,CS홀딩스,주권,COMMON,TRUE,,,19751222,1975-12-22,VALID
KOSPI,13,KR7012030003,012030,DB,주권,COMMON,TRUE,,,19930106,1993-01-06,VALID
KOSPI,14,KR7005830005,005830,DB손해보험,주권,COMMON,TRUE,,,19730628,1973-06-28,VALID
KOSPI,15,KR7016610008,016610,DB증권,주권,COMMON,TRUE,,,19880627,1988-06-27,VALID
KOSPI,16,KR7000990002,000990,DB하이텍,주권,COMMON,TRUE,,,19751212,1975-12-12,VALID
KOSPI,17,KR7001530005,001530,DI동일,주권,COMMON,TRUE,,,19640104,1964-01-04,VALID
KOSPI,18,KR7000211003,000215,DL우,주권,PREFERRED,TRUE,,,19890821,1989-08-21,VALID
KOSPI,19,KR7000210005,000210,DL,주권,COMMON,TRUE,,,19760202,1976-02-02,VALID
KOSPI,20,KR737550K011,37550K,DL이앤씨우,주권,PREFERRED,TRUE,,,20210125,2021-01-25,VALID
KOSPI,21,KR737550K029,37550L,DL이앤씨2우(전환),주권,PREFERRED,TRUE,,,20220428,2022-04-28,VALID
KOSPI,22,KR7375500006,375500,DL이앤씨,주권,COMMON,TRUE,,,20210125,2021-01-25,VALID
KOSPI,23,KR7155660004,155660,DSR,주권,COMMON,TRUE,,,20130515,2013-05-15,VALID
KOSPI,24,KR7069730000,069730,DSR제강,주권,COMMON,TRUE,,,20030128,2003-01-28,VALID
KOSPI,25,KR7017860008,017860,DS단석,주권,COMMON,TRUE,,,20231222,2023-12-22,VALID
KOSPI,26,KR7017940008,017940,E1,주권,COMMON,TRUE,,,19970827,1997-08-27,VALID
KOSPI,27,KR7365550003,365550,ESR켄달스퀘어리츠,부동산투자회사,REIT,TRUE,,,20201223,2020-12-23,VALID
KOSPI,28,KR7383220001,383220,F&F,주권,COMMON,TRUE,,,20210521,2021-05-21,VALID
KOSPI,29,KR7007700008,007700,F&F홀딩스,주권,COMMON,TRUE,,,19841004,1984-10-04,VALID
KOSPI,30,KR7078931003,078935,GS우,주권,PREFERRED,TRUE,,,20040805,2004-08-05,VALID
KOSPI,31,KR7006360002,006360,GS건설,주권,COMMON,TRUE,,,19810803,1981-08-03,VALID
KOSPI,32,KR7078930005,078930,GS,주권,COMMON,TRUE,,,20040805,2004-08-05,VALID
KOSPI,33,KR7012630000,012630,HDC,주권,COMMON,TRUE,,,19961016,1996-10-16,VALID
KOSPI,34,KR7097230007,097230,HJ중공업,주권,COMMON,TRUE,,,20070831,2007-08-31,VALID
KOSPI,35,KR7014790000,014790,HL D&I,주권,COMMON,TRUE,,,19940812,1994-08-12,VALID
KOSPI,36,KR7204320006,204320,HL만도,주권,COMMON,TRUE,,,20141006,2014-10-06,VALID
KOSPI,37,KR7060980000,060980,HL홀딩스,주권,COMMON,TRUE,,,20100519,2010-05-19,VALID
KOSPI,38,KR7035000009,035000,HS애드,주권,COMMON,TRUE,,,19990811,1999-08-11,VALID
KOSPI,39,KR7015360001,015360,INVENI,주권,COMMON,TRUE,,,19961224,1996-12-24,VALID
KOSPI,40,KR7175330000,175330,JB금융지주,주권,COMMON,TRUE,,,20130718,2013-07-18,VALID
